Arena,School,City,State,Conference,Capacity,Opened,Wins,Losses,Conference Wins,Conference Losses,PPG_Scored,PPG_Allowed,Simple Rating System,Strength of Schedule,NCAA Tourney,Home Games,Total Attendance,Average Attendance,FTE
Sanford Coyote Sports Center,University of South Dakota,Vermillion,SD,Summit,6000,2016,26,9,11,3,79.5,70.8,6.17,-2.6,0,15,34036,2269.067,6198
Mitchell Center,University of South Alabama,Mobile,AL,Sun Belt,10041,1998,14,18,7,11,68.6,71.2,-5.43,-2.87,0,15,31323,2088.2,12709
Trojan Arena,Troy University,Troy,AL,Sun Belt,5200,2012,16,17,9,9,73.8,73.2,-1.5,-2.11,0,14,29221,2087.214,10665
First National Bank Arena,Arkansas State University-Main Campus,Jonesboro,AR,Sun Belt,10563,1987,11,21,6,12,72.7,79.3,-9.65,-3.02,0,14,29800,2128.571,7597
Jack Stephens Center,University of Arkansas at Little Rock,Little Rock,AR,Sun Belt,5600,2005,7,25,4,14,62.2,70.4,-10.44,-2.21,0,15,32488,2165.867,5886
GSU Sports Arena,Georgia State University,Atlanta,GA,Sun Belt,3854,1973,24,11,12,6,73.8,67.8,3.23,-2.78,1,14,21660,1547.143,24989
Hanner Fieldhouse,Georgia Southern University,Statesboro,GA,Sun Belt,4325,1969,21,12,11,7,73.8,71,-0.54,-3.28,0,13,24252,1865.538,16873
Cajundome,University of Louisiana at Lafayette,Lafayette,LA,Sun Belt,13500,1985,27,7,16,2,81.8,71.7,7.58,-2.54,0,15,63278,4218.533,13691
Fant?Ewing Coliseum,University of Louisiana at Monroe,Monroe,LA,Sun Belt,7085,1971,16,16,9,9,67.6,70.6,-6.27,-3.31,0,16,25261,1578.813,6016
George M. Holmes Convocation Center,Appalachian State University,Boone,NC,Sun Belt,8325,2000,15,18,9,9,73.9,76,-4.81,-2.65,0,13,16490,1268.462,17021
HTC Center,Coastal Carolina University,Conway,SC,Sun Belt,3600,2012,14,18,8,10,70.4,72,-3.91,-2.4,0,16,21650,1353.125,9209
College Park Center,The University of Texas at Arlington,Arlington,TX,Sun Belt,7000,2012,21,13,10,8,77.8,74.2,2.2,-1.43,0,15,35171,2344.733,22090
Strahan Coliseum,Texas State University,San Marcos,TX,Sun Belt,7200,1982,15,18,7,11,64.7,67.1,-5.83,-3.44,0,14,28518,2037,30599
Dunn?Oliver Acadome,Alabama State University,Montgomery,AL,SWAC,7400,1992,8,23,8,10,68.7,78.6,-18.55,-8.62,0,11,14257,1296.091,4191
Elmore Gymnasium,Alabama A & M University,Normal,AL,SWAC,6000,1973,3,28,3,15,60.4,76.4,-23.97,-8.04,0,11,13301,1209.182,5335
K. L. Johnson Complex,University of Arkansas at Pine Bluff,Pine Bluff,AR,SWAC,4500,1982,14,21,12,6,65.9,71.4,-14.84,-9.36,0,10,35043,3504.3,2375
F. G. Clark Center,Southern University and A & M College,Baton Rouge,LA,SWAC,7500,1975,15,18,10,8,67.4,72.4,-14.54,-9.57,0,14,15737,1124.071,5014
Fredrick C. Hobdy Assembly Center,Grambling State University,Grambling,LA,SWAC,7500,2007,17,14,13,5,71.5,74.2,-12.97,-10.3,0,10,13397,1339.7,4051
Harrison HPER Complex,Alcorn State University,Itta Bena,MS,SWAC,5000,1970,4,28,4,14,64.8,78.1,-21.41,-8.13,0,9,21089,2343.222,3083
Williams Assembly Center,Mississippi Valley State University,Jackson,MS,SWAC,8000,1981,12,20,9,9,61.6,68.7,-17.66,-10.49,0,11,24922,2265.636,1797
Davey Whitney Complex,Jackson State University,Lorman,MS,SWAC,7000,1975,11,21,7,11,67.6,77,-18.07,-8.6,0,14,5806,414.714,6748
Health and Physical Education Arena,Texas Southern University,Houston,TX,SWAC,8100,1989,16,20,12,6,77.4,79.4,-7.53,-5.53,1,10,21385,2138.5,8363
William J. Nicks Building,Prairie View A & M University,Prairie View,TX,SWAC,6500,1968,16,18,12,6,74.2,76.6,-10.13,-7.71,0,11,17874,1624.909,7881
GCU Arena,Grand Canyon University,Phoenix,AZ,WAC,7500,2011,22,12,9,5,73.2,64.6,3.76,-4.81,0,19,132495,6973.421,16001
Icardo Center,California State University-Bakersfield,Bakersfield,CA,WAC,3800,1989,12,18,5,9,64.2,70.1,-6.58,-0.73,0,12,33547,2795.583,8418
Emil and Patricia Jones Convocation Center,Chicago State University,Chicago,IL,WAC,7000,2007,3,29,1,13,65.2,87.9,-21.53,1.17,0,11,4949,449.909,1942
